name,age,evaluation,venue,race_name,heads,horsenumber,popularity,horseman,distance,course_status,horse_weight,horse_weight_ratio,winning_percentage
マイネルサージュ,6,3.33,2中山2,中山記念(G2),10,1,10,三浦皇成,1800,良,502,+2,0.458333333333
サクラアンプルール,7,2.67,2中山2,中山記念(G2),10,2,3,蛯名正義,1800,良,490,-4,0.454545454545
ヴィブロス,5,3.78,2中山2,中山記念(G2),10,3,5,内田博幸,1800,良,436,0,0.6
ペルシアンナイト,4,3.96,2中山2,中山記念(G2),10,4,1,Ｍ．デム,1800,良,482,-6,0.777777777778
ウインブライト,4,4.08,2中山2,中山記念(G2),10,5,2,松岡正海,1800,良,474,-6,0.545454545455
マイネルハニー,5,3.50,2中山2,中山記念(G2),10,6,7,柴田大知,1800,良,478,-6,0.52380952381
ディサイファ,9,3.51,2中山2,中山記念(G2),10,7,8,田中勝春,1800,良,506,+2,0.488888888889
アエロリット,4,3.91,2中山2,中山記念(G2),10,10,4,菊沢隆徳,1800,良,504,+18,0.75
ショウナンバッハ,7,3.00,2中山2,中山記念(G2),10,9,9,国本哲秀,1800良,452,0,0.216216216216
マルターズアポジー,6,3.68,2中山2,中山記念(G2),10,8,6,堀井雅広,1800,良,528,+6,0.5
