horse_name,evaluation,venue,race_name,horse_heads,horse_number,popularity,jockey,jockey_winning_percentage,distance,horse_weight,horse_weight_diff,winning_percentage
ニシノラッシュ,3.13,1阪神2,阪急杯(G3),18,1,11,幸英明,26.755725,1400,504,+2,0.526315789474
シュウジ,3.17,1阪神2,阪急杯(G3),18,2,5,福永祐一,42.698795,1400,502,-2,0.421052631579
ミッキーラブソング,3.40,1阪神2,阪急杯(G3),18,3,13,松山弘平,27.118644,1400,464,-2,0.352941176471
ペイシャフェリシタ,2.25,1阪神2,阪急杯(G3),18,4,10,松田大作,22.967033,1400,488,-2,0.470588235294
コスモドーム,2.67,1阪神2,阪急杯(G3),18,5,16,国分恭介,19.572368,1400,516,-6,0.288888888889
レッドファルクス,4.22,1阪神2,阪急杯(G3),18,6,2,川田将雅,45.967742,1400,478,+6,0.652173913043
ムーンクレスト,3.67,1阪神2,阪急杯(G3),18,7,12,荻野極,21.855011,1400,478,-2,0.388888888889
ヒルノデイバロー,3.25,1阪神2,阪急杯(G3),18,8,9,四位洋文,31.599229,1400,516,-10,0.51724137931
マイネルバールマン,2.64,1阪神2,阪急杯(G3),18,9,14,和田竜二,29.357798,1400,528,14,0.384615384615
ユキノアイオロス,3.00,1阪神2,阪急杯(G3),18,10,17,川島信二,19.497784,1400,488,-4,0.253333333333
コロマンデル,3.50,1阪神2,阪急杯(G3),18,11,18,高倉稜,16.144975,1400,462,+4,0.2
ディバインコード,3.81,1阪神2,阪急杯(G3),18,12,4,岩田康誠,37.716821,1400,502,0,0.833333333333
ダイアナヘイロー,3.00,1阪神2,阪急杯(G3),18,13,7,武豊,41.093901,1400,470,-8,0.611111111111
モーニン,3.64,1阪神2,阪急杯(G3),18,14,6,浜中俊,38.848548,1400,538,+6,0.588235294118
カラクレナイ,2.90,1阪神2,阪急杯(G3),18,15,3,池添謙一,29.967213,1400,498,0,0.3
アポロノシンザン,2.75,1阪神2,阪急杯(G3),18,16,8,津村明秀,24.409980,1400,486,+2,0.684210526316
モズアスコット,3.50,1阪神2,阪急杯(G3),18,17,1,Ｃ．デム,45.874587,1400,488,+2,0.571428571429
タイムトリップ,3.10,1阪神2,阪急杯(G3),18,18,15,加藤祥太,16.720257,1400,506,+30,0.6
